Source,Target,Type,Id,Label,timeset,Weight
UC-eannSu1vdGH0Z0WxA5Chg,UCCGRtSqLfljpX9mzCYDsQIg,Directed,5000,,,1
UC-eannSu1vdGH0Z0WxA5Chg,UCvqbpgno9DcJpza4Hms-n7g,Directed,5001,,,1
UC-eannSu1vdGH0Z0WxA5Chg,UCtPPkaXk1DXerZEvfPb4ssA,Directed,5002,,,1
UC-eannSu1vdGH0Z0WxA5Chg,UCR1x4S_tqNDiZN71YstsAmg,Directed,5003,,,1
UC-eannSu1vdGH0Z0WxA5Chg,UCaNlbnghtwlsGF-KzAFThqA,Directed,5004,,,1
UC-eannSu1vdGH0Z0WxA5Chg,UCeR8BYZS7IHYjk_9Mh5JgkA,Directed,5005,,,1
UC-eannSu1vdGH0Z0WxA5Chg,UCej7tmvtZ_ex9dZE-ZYS0EQ,Directed,5006,,,1
UC-eannSu1vdGH0Z0WxA5Chg,UCdL3UpiseRlvxXuORJjmqZw,Directed,5007,,,1
UC-eannSu1vdGH0Z0WxA5Chg,UCiWrr_SnP8eK-_9yJWFzbEA,Directed,5008,,,1
UC-eannSu1vdGH0Z0WxA5Chg,UCJLsfsSpIiUBPvYYSUAclrw,Directed,5009,,,1
UC-eannSu1vdGH0Z0WxA5Chg,UCi0s6lgm7BCdM50X6oKmNwg,Directed,5010,,,1
UC-eannSu1vdGH0Z0WxA5Chg,UC_iuTGIGPWQBLGbd_TgwB-Q,Directed,5011,,,1
UC-eannSu1vdGH0Z0WxA5Chg,UCKtG_lXZk4pRJkapfK0eprA,Directed,5012,,,1
UC-eannSu1vdGH0Z0WxA5Chg,UCX2dIyMEQMWy3AQBlq1CYXQ,Directed,5013,,,1
UC-eannSu1vdGH0Z0WxA5Chg,UC07z9r4VHsH1mIsWFpc0AVw,Directed,5014,,,1
UC07z9r4VHsH1mIsWFpc0AVw,UCtyONQLs6htK-wWiCAk4wVw,Directed,5015,,,1
UC07z9r4VHsH1mIsWFpc0AVw,UCm5wThREh298TkK8hCT9HuA,Directed,5016,,,1
UC07z9r4VHsH1mIsWFpc0AVw,UC5eOLQO5VUEFJukNg9cl5jg,Directed,5017,,,1
UC0ASGK9E3bqiXaU2R5mVf-w,UCK6mlWEjd5-wK1aOqL2zKQQ,Directed,5018,,,1
UC0ASGK9E3bqiXaU2R5mVf-w,UC72lswiocu5Asjt6j9RWh7A,Directed,5019,,,1
UC0ASGK9E3bqiXaU2R5mVf-w,UCwWCBw7M0kskNlv0coVP53w,Directed,5020,,,1
UC0ASGK9E3bqiXaU2R5mVf-w,UCuzwN74da6dfHW69r4S2qJg,Directed,5021,,,1
UC0efyK_-Athm8yhyjNSqndQ,UCofQxJWd4qkqc7ZgaLkZfcw,Directed,5022,,,1
UC0efyK_-Athm8yhyjNSqndQ,UCq-8pBMM3I40QlrhM9ExXJQ,Directed,5023,,,1
UC0efyK_-Athm8yhyjNSqndQ,UC5eOLQO5VUEFJukNg9cl5jg,Directed,5024,,,1
UC0efyK_-Athm8yhyjNSqndQ,UCW2y2m-mgYg4Y7VLyjIQWWg,Directed,5025,,,1
UC0efyK_-Athm8yhyjNSqndQ,UCyJDHgrsUKuWLe05GvC2lng,Directed,5026,,,1
UC0efyK_-Athm8yhyjNSqndQ,UCtqICqGbPSbTN09K1_7VZ3Q,Directed,5027,,,1
UC0efyK_-Athm8yhyjNSqndQ,UCeR8BYZS7IHYjk_9Mh5JgkA,Directed,5028,,,1
UC0efyK_-Athm8yhyjNSqndQ,UCjsHDXUU3BjBCG7OaCbNDyQ,Directed,5029,,,1
UC0efyK_-Athm8yhyjNSqndQ,UCWYxQt9Y3y2CDzXLf2K7xCA,Directed,5030,,,1
UC0efyK_-Athm8yhyjNSqndQ,UCGeFgMJfWclTWuPw8Ok5FUQ,Directed,5031,,,1
UC0HxyEc_ojRJ1oJXS5K6oaA,UCzi5Z-wnH6D-GBWVzrjktXg,Directed,5032,,,1
UC0HxyEc_ojRJ1oJXS5K6oaA,UCNMns3zbytLPooWwNmMh9_w,Directed,5033,,,1
UC0HxyEc_ojRJ1oJXS5K6oaA,UCofQxJWd4qkqc7ZgaLkZfcw,Directed,5034,,,1
UC0HxyEc_ojRJ1oJXS5K6oaA,UCBo6bcRr2D9UnkMbgeEEMbw,Directed,5035,,,1
